AL East,W,L,PCT,GB,WCGB,L10,STRK,RS,RA,DIFF,X-W/L,HOME,AWAY,>.500,Next Game,Rank,abbr
New York Yankeesx,92,65,.586,-,-,7-3,L1,786,641,+145,93-64,42-34,50-31,57-37,Sep 25 vs. BAL,1,NYY
Baltimore Oriolesx,87,70,.554,5.0,+4.0,4-6,W1,754,676,+78,86-71,44-37,43-33,44-45,Sep 25 @ NYY,2,BAL
Boston Red Sox,80,78,.506,12.5,3.5,6-4,W4,744,731,+13,80-78,37-41,43-37,39-57,Sep 25 @ TOR,3,BOS
Tampa Bay Rays,78,79,.497,14.0,5.0,6-4,L1,590,646,-56,72-85,42-39,36-40,47-55,Sep 25 @ DET,4,TBR
Toronto Blue Jays,73,85,.462,19.5,10.5,3-7,L5,658,716,-58,73-85,38-39,35-46,44-64,Sep 25 vs. BOS,5,TOR
AL Central,W,L,PCT,GB,WCGB,L10,STRK,RS,RA,DIFF,X-W/L,HOME,AWAY,>.500,Next Game,,
Cleveland Guardiansy,91,67,.576,-,-,7-3,W1,698,610,+88,89-69,49-28,42-39,52-46,Sep 25 vs. CIN,1,CLE
Detroit Tigers,83,74,.529,7.5,-,8-2,W3,662,624,+38,83-74,40-36,43-38,48-52,Sep 25 vs. TB,2,DET
Kansas City Royals,83,74,.529,7.5,-,3-7,W1,720,633,+87,88-69,45-36,38-38,44-55,Sep 25 @ WSH,3,KCR
Minnesota Twins,81,76,.516,9.5,2.0,3-7,L3,722,702,+20,81-76,42-34,39-42,40-58,Sep 25 vs. MIA,4,MIN
Chicago White Sox,37,120,.236,53.5,46.0,4-6,W1,482,801,-319,44-113,21-58,16-62,22-91,Sep 25 vs. LAA,5,CHW
AL West,W,L,PCT,GB,WCGB,L10,STRK,RS,RA,DIFF,X-W/L,HOME,AWAY,>.500,Next Game,,
Houston Astrosy,86,73,.541,-,-,5-5,L1,731,644,+87,89-70,46-35,40-38,40-45,Sep 27 @ CLE,1,HOU
Seattle Mariners,82,77,.516,4.0,2.0,6-4,W1,661,597,+64,87-72,46-32,36-45,42-47,Sep 27 vs. OAK,2,SEA
Texas Rangers,74,83,.471,11.0,9.0,3-7,L1,654,724,-70,71-86,44-37,30-46,40-62,Sep 25 @ OAK,3,TEX
Oakland Athletics,68,89,.433,17.0,15.0,4-6,W1,629,742,-113,67-90,37-42,31-47,35-64,Sep 25 vs. TEX,4,OAK
Los Angeles Angels,63,94,.401,22.0,20.0,3-7,L1,622,764,-142,64-93,32-46,31-48,42-59,Sep 25 @ CWS,5,LAA
NL East,W,L,PCT,GB,WCGB,L10,STRK,RS,RA,DIFF,X-W/L,HOME,AWAY,>.500,Next Game,,
Philadelphia Philliesy,93,65,.589,-,-,4-6,L1,765,647,+118,91-67,53-27,40-38,53-43,LIVE vs. CHC,1,PHI
New York Mets,87,70,.554,5.5,+0.5,6-4,L1,751,673,+78,86-71,46-35,41-35,47-47,Sep 27 @ MIL,2,NYM
Atlanta Braves,86,71,.548,6.5,0.5,6-4,W3,687,594,+93,89-68,43-33,43-38,53-42,Sep 27 vs. KC,3,ATL
Washington Nationals,69,88,.439,23.5,17.5,3-7,L2,638,744,-106,68-89,36-40,33-48,39-68,Sep 25 vs. KC,4,WSN
Miami Marlins,58,99,.369,34.5,28.5,3-7,W1,600,820,-220,57-100,30-51,28-48,44-63,Sep 25 @ MIN,5,MIA
NL Central,W,L,PCT,GB,WCGB,L10,STRK,RS,RA,DIFF,X-W/L,HOME,AWAY,>.500,Next Game,,
Milwaukee Brewersy,90,67,.573,-,-,5-5,W2,757,628,+129,92-65,45-33,45-34,54-42,Sep 25 @ PIT,1,MIL
Chicago Cubs,81,77,.513,9.5,6.0,6-4,W1,726,657,+69,86-72,42-36,39-41,46-50,LIVE @ PHI,2,CHC
St. Louis Cardinals,80,77,.510,10.0,6.5,6-4,W3,642,697,-55,73-84,44-37,36-40,47-48,Sep 25 @ COL,3,STL
Cincinnati Reds,76,82,.481,14.5,11.0,5-5,L2,694,685,+9,80-78,39-42,37-40,47-60,Sep 25 @ CLE,4,CIN
Pittsburgh Pirates,73,84,.465,17.0,13.5,3-7,L1,644,721,-77,70-87,38-41,35-43,43-63,Sep 25 vs. MIL,5,PIT
NL West,W,L,PCT,GB,WCGB,L10,STRK,RS,RA,DIFF,X-W/L,HOME,AWAY,>.500,Next Game,,
Los Angeles Dodgersx,93,64,.592,-,-,6-4,L1,805,674,+131,91-66,50-29,43-35,58-45,Sep 25 vs. SD,1,LAD
San Diego Padresx,91,66,.580,2.0,+4.5,9-1,W5,743,644,+99,89-68,45-36,46-30,55-47,Sep 25 @ LAD,2,SDP
Arizona Diamondbacks,87,71,.551,6.5,-,5-5,L3,864,774,+90,87-71,42-35,45-36,50-52,Sep 25 vs. SF,3,ARI
San Francisco Giants,79,79,.500,14.5,8.0,7-3,W5,681,674,+7,80-78,41-37,38-42,45-56,Sep 25 @ AZ,4,SFG
Colorado Rockies,60,97,.382,33.0,26.5,5-5,L2,663,890,-227,58-99,36-40,24-57,44-69,Sep 25 vs. STL,5,COL
